transaction_id,customer_id,amount,country,device,merchant_category,failed_logins,new_device,transaction_time,fraud
1,9837,145.87,Mexico,MacBook,Luxury,1,1,2026-04-07 13:42:40.833383,1
2,5874,270.1,Brazil,MacBook,Travel,4,0,2026-05-04 11:32:54.282854,0
3,2182,116.38,Germany,Tablet,Luxury,2,0,2026-04-19 07:36:30.708178,1
4,6179,161.78,Canada,Tablet,Electronics,3,0,2026-05-02 18:24:42.656362,1
5,6664,207.61,India,Windows,Travel,1,0,2026-04-18 10:57:59.019414,0
6,7933,5.56,Canada,Android,Gaming,5,1,2026-04-12 00:32:44.214100,1
7,7306,30.25,Canada,Tablet,Travel,0,1,2026-04-13 01:05:06.420578,1
8,3450,16.15,UK,Windows,Travel,0,0,2026-04-28 08:55:00.200212,0
9,4821,206.28,Canada,iPhone,Gaming,5,1,2026-05-04 12:33:32.435337,1
10,2344,152.82,Mexico,MacBook,Restaurant,1,0,2026-04-24 17:56:12.477061,0
11,3004,128.31,Canada,Windows,Travel,1,1,2026-04-07 18:05:17.566986,0
12,1064,56.43,Canada,Android,Travel,2,0,2026-04-20 19:12:24.876196,0
13,6374,161.89,Canada,MacBook,Grocery,0,0,2026-04-12 04:59:57.782941,0
14,9659,96.49,Singapore,Tablet,Luxury,4,1,2026-04-11 00:04:19.978327,1
15,5912,42.48,Brazil,Tablet,Luxury,3,0,2026-04-07 15:33:54.121922,0
16,2231,90.36,Germany,MacBook,Gaming,4,0,2026-04-30 05:44:33.345254,0
17,7047,9.36,UK,iPhone,Electronics,1,0,2026-04-30 21:42:50.552861,0
18,6117,122.94,Brazil,Android,Travel,3,1,2026-05-03 08:10:02.240067,1
19,3059,178.83,Singapore,iPhone,Grocery,4,0,2026-04-27 00:40:07.412946,0
20,3813,120.14,Germany,MacBook,Luxury,4,1,2026-05-03 10:07:41.386289,1
21,1119,54.65,UK,Windows,Grocery,4,1,2026-05-05 14:45:27.459574,1
22,9656,58.79,Canada,Windows,Luxury,3,1,2026-04-28 07:28:49.136137,1
23,6351,80.75,USA,Windows,Grocery,3,1,2026-04-17 04:24:45.603010,0
24,7861,141.11,India,Windows,Travel,3,0,2026-04-15 00:40:36.021081,0
25,2869,33.21,UK,Tablet,Travel,2,0,2026-04-15 23:11:27.627107,0
26,9673,84.55,India,Tablet,Grocery,4,0,2026-04-11 22:51:54.637623,0
27,8299,278.58,India,Android,Grocery,3,1,2026-04-29 00:07:50.109772,1
28,2518,152.09,USA,Tablet,Electronics,5,1,2026-04-23 14:50:06.351173,0
29,4481,23.32,USA,iPhone,Travel,1,0,2026-05-05 03:34:26.030876,0
30,7883,15.71,Brazil,Android,Luxury,1,0,2026-04-21 12:30:37.274025,1
31,7904,1.08,Germany,Windows,Restaurant,1,0,2026-04-23 07:07:52.611290,0
